6	1	1	1	1
109	62	1	1	1
11	9	1	1	1
88	53	1	1	1
44	26	1	1	1
4	2	2	1	1
2	1	1	1	1
72	38	1	1	1
9	8	1	1	1
113	59	1	1	1
6	3	1	1	1
4	2	1	1	1
11	3	1	1	1
3	1	1	1	1
0	0	1	2	0
49	36	1	1	1
11	8	1	1	1
12	2	1	1	1
0	0	1	1	0
45	18	3	1	1
16	13	1	1	1
0	0	1	1	0
9	3	1	1	1
7	4	1	1	1
28	11	1	2	1
2	1	1	1	1
12	7	1	1	1
141	92	1	1	1
88	14	1	1	1
12	6	1	1	1
7	6	1	1	1
3	2	1	1	1
13	4	1	1	1
25	10	1	1	1
8	5	1	1	1
0	0	0	1	0
0	0	1	2	0
65	17	1	1	1
9	3	1	1	1
5	1	1	1	1
27	12	1	1	1
9	3	1	1	1
44	24	1	1	1
20	11	1	1	1
4	2	1	1	1
90	58	1	1	1
5	3	1	2	1
11	2	1	1	1
633	468	4	1	1
0	0	1	1	0
186	73	1	1	1
148	90	1	2	1
37	22	1	1	1
3	2	1	1	1
44	34	1	1	1
0	0	1	1	0
14	4	1	1	1
4	2	1	1	1
35	12	1	1	1
0	0	0	1	0
234	132	1	1	1
3	1	1	1	1
11	5	1	1	1
0	0	1	1	0
4	1	1	1	1
20	13	1	1	1
2	1	1	1	1
68	43	1	1	1
44	22	1	1	1
5	1	1	1	1
42	18	1	1	1
11	5	1	1	1
10	9	1	1	1
76	37	1	1	1
57	34	1	1	1
2	1	1	1	1
84	38	1	1	1
0	0	1	1	0
3	1	1	1	1
9	3	1	1	1
0	0	0	1	0
12	9	2	1	1
5	4	2	1	1
106	82	2	1	1
5	2	1	1	1
110	78	1	1	1
78	44	1	1	1
76	38	1	1	1
79	39	1	1	1
33	17	2	1	1
0	0	1	1	0
14	3	1	1	1
16	11	1	1	1
9	4	1	1	1
12	3	1	1	1
74	38	2	1	1
15	8	1	1	1
6	3	1	2	1
304	199	1	1	1
10	1	1	1	1
8	6	1	1	1
31	18	1	1	1
0	0	0	1	0
6	4	1	1	1
6	3	1	1	1
43	32	1	1	1
82	45	1	1	1
30	17	1	1	1
4	3	1	1	1
13	5	1	1	1
13	8	1	1	1
37	30	1	2	1
76	43	1	1	1
28	22	1	1	1
110	72	1	1	1
39	28	1	1	1
137	78	1	1	1
61	38	1	1	1
0	0	0	1	0
0	0	0	1	0
7	2	1	1	1
10	4	1	1	1
3	2	1	1	1
0	0	1	1	0
26	9	1	1	1
18	1	1	16	1
15	5	1	1	1
19	15	1	1	1
235	133	1	1	1
5	4	1	1	1
33	13	1	1	1
3	2	1	1	1
220	131	1	1	1
566	247	2	1	1
2	1	1	1	1
27	17	1	1	1
8	3	0	1	1
73	50	3	1	1
0	0	0	1	0
54	9	1	1	1
4	3	1	1	1
563	369	1	1	1
34	21	1	1	1
43	18	1	1	1
93	45	2	1	1
56	36	1	1	1
61	41	1	1	1
45	29	1	1	1
10	4	1	1	1
6	2	1	1	1
0	0	0	1	0
0	0	1	1	0
9	8	1	1	1
3	1	1	1	1
6	1	1	4	1
34	9	1	1	1
48	29	2	1	1
2	1	1	1	1
20	6	1	1	1
11	4	1	1	1
1359	845	1	1	1
21	6	1	1	1
13	8	1	1	1
5	3	1	1	1
2	1	1	1	1
57	30	2	1	1
42	19	1	1	1
5	2	1	1	1
3	1	1	1	1
33	26	4	1	1
394	223	1	1	1
24	17	1	1	1
87	59	1	1	1
63	35	1	1	1
3	2	1	1	1
2	1	1	1	1
35	23	1	1	1
6	1	1	3	1
3	1	1	1	1
28	16	1	1	1
24	10	1	1	1
29	10	1	1	1
106	53	1	1	1
349	193	8	1	1
0	0	0	1	0
27	10	1	1	1
700	369	1	1	1
0	0	1	1	0
68	44	1	1	1
0	0	0	1	0
27	10	1	1	1
15	5	1	1	1
424	217	1	1	1
342	169	1	1	1
0	0	1	1	0
18	7	1	1	1
1219	1194	1	1	1
0	0	0	1	0
90	48	2	1	1
0	0	2	1	0
2	1	1	1	1
2	1	1	1	1
98	63	1	1	1
6	2	1	1	1
261	137	1	1	1
0	0	0	1	0
5	3	1	1	1
15	10	1	1	1
4	1	1	1	1
6	2	2	1	1
0	0	0	1	0
6	2	1	1	1
32	13	1	1	1
0	0	1	1	0
87	14	1	1	1
7	4	0	1	1
3	1	1	1	1
62	47	1	2	1
0	0	1	1	0
64	29	1	1	1
9	2	1	1	1
60	34	4	1	1
10	2	1	1	1
7	4	1	1	1
2	1	1	1	1
4	1	1	1	1
3	1	1	1	1
7	4	1	1	1
0	0	1	1	0
0	0	0	1	0
5	2	1	1	1
7	4	1	1	1
9	6	1	1	1
40	17	1	1	1
30	13	1	1	1
0	0	1	1	0
108	57	1	1	1
2	1	1	1	1
70	20	1	1	1
6	2	1	1	1
22	12	1	1	1
128	69	3	1	1
0	0	0	1	0
80	44	1	1	1
2	1	1	1	1
3	2	1	1	1
2	1	1	1	1
10	3	1	2	1
14	6	1	1	1
118	54	1	1	1
2	1	1	1	1
15	5	1	1	1
43	17	1	1	1
0	0	1	1	0
10	7	1	3	1
0	0	1	1	0
61	43	1	1	1
125	67	1	1	1
38	21	2	1	1
12	9	2	1	1
117	79	1	1	1
107	101	1	1	1
0	0	0	1	0
22	12	1	1	1
33	10	1	1	1
223	159	4	1	1
3	2	1	1	1
3	2	1	1	1
0	0	0	1	0
0	0	0	1	0
10	4	1	1	1
3	1	1	1	1
30	24	1	2	1
68	57	1	1	1
445	268	1	1	1
14	10	1	1	1
4	2	1	1	1
105	47	1	1	1
36	19	1	1	1
7	2	1	1	1
98	37	1	1	1
16	9	1	1	1
5	3	1	1	1
13	6	1	1	1
24	8	2	1	1
12	6	1	1	1
64	31	1	1	1
0	0	2	1	0
9	4	1	1	1
18	8	1	1	1
5	4	1	1	1
18	6	1	1	1
0	0	1	1	0
4	1	1	1	1
20	7	1	1	1
16	7	1	1	1
21	10	1	1	1
0	0	0	1	0
0	0	0	1	0
36	20	1	1	1
64	47	1	1	1
27	11	1	1	1
0	0	0	1	0
35	30	1	1	1
4	1	1	1	1
0	0	0	1	0
3	1	1	2	1
7	3	1	1	1
53	33	1	1	1
0	0	1	1	0
32	27	1	3	1
27	24	1	1	1
0	0	1	1	0
5	1	1	1	1
221	132	1	1	1
230	139	1	1	1
43	17	1	1	1
0	0	1	1	0
6	1	1	1	1
84	68	1	1	1
0	0	1	1	0
52	30	1	1	1
20	16	2	1	1
